"event_title","event_id","event_subtitle","event_type","event_desc","event_loc","date_event_start","date_event_end","exp_attendance","exp_participants","event_host","event_url","address_full","lat","lng"
"Little Italy Mercato Farmers' Market","53654","","FARMERS","This farmer's market in Little Italy offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, flowers, meat, nuts, sauces, bakery, dry goods, prepared foods, and specialty treats. There are also gift items and craft creations. Come and shop!","W. Date St. between Front Street and its cul-de-sac west of Kettner Boulevard","2021-07-24 08:00:00","2021-07-24 14:00:00","",""," Little Italy Association of San Diego","www.littleitalymercato.com","Date Street & Front Street","32.723","-117.16479"
"North Park Thursday Market","53806","","FARMERS","This farmer's market in North Park offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. Come and shop!","North Park Way between Granada Avenue and 30th Street","2021-07-22 15:00:00","2021-07-22 19:30:00","","","North Park Business and Neighborhood Foundation","www.northparkmarket.com","North Park Way & Granada Avenue","32.747375","-117.13188999999998"
"Ocean Beach Certified Farmers' Market","53549","","FARMERS","This farmer's market in Ocean Beach offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, flowers, meat, nuts, sauces, bakery, dry goods, prepared foods, and specialty treats. There are also gift items and craft creations. Come and shop!","Newport Avenue between Bacon and Cable Streets","2021-07-21 16:00:00","2021-07-21 20:00:00","","","Ocean Beach Merchant's Association","www.oceanbeachsandiego.com/attractions/annual-events/farmers-market-wednesdays","Newport Avenue and Bacon Street","32.746857","-117.25107"
"Pacific Beach Tuesday Farmers' Market","53754","","FARMERS","This farmer's market in Pacific Beach offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. There are also art & craft items, jewelry, and clothing. Come and shop!","Bayard Street between Grand and Garnet Avenues","2021-07-20 14:00:00","2021-07-20 19:00:00","","","Discover PB","www.pacificbeachmarket.com","Bayard Street & Grand Avenue","32.79506","-117.2531"
"Hillcrest Farmers Market","53704","","FARMERS","This farmer's market in Hillcrest offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. There are also art & craft items, jewelry, and clothing. Come and shop!","DMV parking lot at 3690 Normal Street ~ Normal Street between Lincoln Avenue & University Avenue","2021-07-18 09:00:00","2021-07-18 14:00:00","","","Hillcrest Business Association","www.hillcrestfarmersmarket.com","3690 Normal Street","32.7485285","-117.1498856"
"City Heights Farmers' Market","53601","","FARMERS","This farmer's market in City Heights offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, bakery, dry goods, prepared foods, and specialty treats. There are also imported items from Latin America, East Africa, and Southwest Asia. Come and shop!","Wightman Street between 43rd Street and Fairmont Avenue","2021-07-17 09:00:00","2021-07-17 13:00:00","","","San Diego County Farm Bureau","www.sdfarmbureau.org","Wightman Street & 43rd Street","32.747757","-117.102"
"Little Italy Mercato Farmers' Market","53653","","FARMERS","This farmer's market in Little Italy offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, flowers, meat, nuts, sauces, bakery, dry goods, prepared foods, and specialty treats. There are also gift items and craft creations. Come and shop!","W. Date St. between Front Street and its cul-de-sac west of Kettner Boulevard","2021-07-17 08:00:00","2021-07-17 14:00:00","",""," Little Italy Association of San Diego","www.littleitalymercato.com","Date Street & Front Street","32.723","-117.16479"
"North Park Thursday Market","53805","","FARMERS","This farmer's market in North Park offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. Come and shop!","North Park Way between Granada Avenue and 30th Street","2021-07-15 15:00:00","2021-07-15 19:30:00","","","North Park Business and Neighborhood Foundation","www.northparkmarket.com","North Park Way & Granada Avenue","32.747375","-117.13188999999998"
"Ocean Beach Certified Farmers' Market","53548","","FARMERS","This farmer's market in Ocean Beach offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, flowers, meat, nuts, sauces, bakery, dry goods, prepared foods, and specialty treats. There are also gift items and craft creations. Come and shop!","Newport Avenue between Bacon and Cable Streets","2021-07-14 16:00:00","2021-07-14 20:00:00","","","Ocean Beach Merchant's Association","www.oceanbeachsandiego.com/attractions/annual-events/farmers-market-wednesdays","Newport Avenue and Bacon Street","32.746857","-117.25107"
"Pacific Beach Tuesday Farmers' Market","53753","","FARMERS","This farmer's market in Pacific Beach offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. There are also art & craft items, jewelry, and clothing. Come and shop!","Bayard Street between Grand and Garnet Avenues","2021-07-13 14:00:00","2021-07-13 19:00:00","","","Discover PB","www.pacificbeachmarket.com","Bayard Street & Grand Avenue","32.79506","-117.2531"
"Hillcrest Farmers Market","53703","","FARMERS","This farmer's market in Hillcrest offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. There are also art & craft items, jewelry, and clothing. Come and shop!","DMV parking lot at 3690 Normal Street ~ Normal Street between Lincoln Avenue & University Avenue","2021-07-11 09:00:00","2021-07-11 14:00:00","","","Hillcrest Business Association","www.hillcrestfarmersmarket.com","3690 Normal Street","32.7485285","-117.1498856"
"City Heights Farmers' Market","53600","","FARMERS","This farmer's market in City Heights offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, bakery, dry goods, prepared foods, and specialty treats. There are also imported items from Latin America, East Africa, and Southwest Asia. Come and shop!","Wightman Street between 43rd Street and Fairmont Avenue","2021-07-10 09:00:00","2021-07-10 13:00:00","","","San Diego County Farm Bureau","www.sdfarmbureau.org","Wightman Street & 43rd Street","32.747757","-117.102"
"Little Italy Mercato Farmers' Market","53652","","FARMERS","This farmer's market in Little Italy offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, flowers, meat, nuts, sauces, bakery, dry goods, prepared foods, and specialty treats. There are also gift items and craft creations. Come and shop!","W. Date St. between Front Street and its cul-de-sac west of Kettner Boulevard","2021-07-10 08:00:00","2021-07-10 14:00:00","",""," Little Italy Association of San Diego","www.littleitalymercato.com","Date Street & Front Street","32.723","-117.16479"
"North Park Thursday Market","53804","","FARMERS","This farmer's market in North Park offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. Come and shop!","North Park Way between Granada Avenue and 30th Street","2021-07-08 15:00:00","2021-07-08 19:30:00","","","North Park Business and Neighborhood Foundation","www.northparkmarket.com","North Park Way & Granada Avenue","32.747375","-117.13188999999998"
"Ocean Beach Certified Farmers' Market","53547","","FARMERS","This farmer's market in Ocean Beach offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, flowers, meat, nuts, sauces, bakery, dry goods, prepared foods, and specialty treats. There are also gift items and craft creations. Come and shop!","Newport Avenue between Bacon and Cable Streets","2021-07-07 16:00:00","2021-07-07 20:00:00","","","Ocean Beach Merchant's Association","www.oceanbeachsandiego.com/attractions/annual-events/farmers-market-wednesdays","Newport Avenue and Bacon Street","32.746857","-117.25107"
"Pacific Beach Tuesday Farmers' Market","53752","","FARMERS","This farmer's market in Pacific Beach offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. There are also art & craft items, jewelry, and clothing. Come and shop!","Bayard Street between Grand and Garnet Avenues","2021-07-06 14:00:00","2021-07-06 19:00:00","","","Discover PB","www.pacificbeachmarket.com","Bayard Street & Grand Avenue","32.79506","-117.2531"
"Hillcrest Farmers Market","53702","","FARMERS","This farmer's market in Hillcrest offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. There are also art & craft items, jewelry, and clothing. Come and shop!","DMV parking lot at 3690 Normal Street ~ Normal Street between Lincoln Avenue & University Avenue","2021-07-04 09:00:00","2021-07-04 14:00:00","","","Hillcrest Business Association","www.hillcrestfarmersmarket.com","3690 Normal Street","32.7485285","-117.1498856"
"City Heights Farmers' Market","53599","","FARMERS","This farmer's market in City Heights offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, bakery, dry goods, prepared foods, and specialty treats. There are also imported items from Latin America, East Africa, and Southwest Asia. Come and shop!","Wightman Street between 43rd Street and Fairmont Avenue","2021-07-03 09:00:00","2021-07-03 13:00:00","","","San Diego County Farm Bureau","www.sdfarmbureau.org","Wightman Street & 43rd Street","32.747757","-117.102"
"Little Italy Mercato Farmers' Market","53651","","FARMERS","This farmer's market in Little Italy offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, flowers, meat, nuts, sauces, bakery, dry goods, prepared foods, and specialty treats. There are also gift items and craft creations. Come and shop!","W. Date St. between Front Street and its cul-de-sac west of Kettner Boulevard","2021-07-03 08:00:00","2021-07-03 14:00:00","",""," Little Italy Association of San Diego","www.littleitalymercato.com","Date Street & Front Street","32.723","-117.16479"
"North Park Thursday Market","53803","","FARMERS","This farmer's market in North Park offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. Come and shop!","North Park Way between Granada Avenue and 30th Street","2021-07-01 15:00:00","2021-07-01 19:30:00","","","North Park Business and Neighborhood Foundation","www.northparkmarket.com","North Park Way & Granada Avenue","32.747375","-117.13188999999998"
"Ocean Beach Certified Farmers' Market","53546","","FARMERS","This farmer's market in Ocean Beach offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, flowers, meat, nuts, sauces, bakery, dry goods, prepared foods, and specialty treats. There are also gift items and craft creations. Come and shop!","Newport Avenue between Bacon and Cable Streets","2021-06-30 16:00:00","2021-06-30 20:00:00","","","Ocean Beach Merchant's Association","www.oceanbeachsandiego.com/attractions/annual-events/farmers-market-wednesdays","Newport Avenue and Bacon Street","32.746857","-117.25107"
"Pacific Beach Tuesday Farmers' Market","53751","","FARMERS","This farmer's market in Pacific Beach offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. There are also art & craft items, jewelry, and clothing. Come and shop!","Bayard Street between Grand and Garnet Avenues","2021-06-29 14:00:00","2021-06-29 19:00:00","","","Discover PB","www.pacificbeachmarket.com","Bayard Street & Grand Avenue","32.79506","-117.2531"
"Hillcrest Farmers Market","53701","","FARMERS","This farmer's market in Hillcrest offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. There are also art & craft items, jewelry, and clothing. Come and shop!","DMV parking lot at 3690 Normal Street ~ Normal Street between Lincoln Avenue & University Avenue","2021-06-27 09:00:00","2021-06-27 14:00:00","","","Hillcrest Business Association","www.hillcrestfarmersmarket.com","3690 Normal Street","32.7485285","-117.1498856"
"City Heights Farmers' Market","53598","","FARMERS","This farmer's market in City Heights offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, bakery, dry goods, prepared foods, and specialty treats. There are also imported items from Latin America, East Africa, and Southwest Asia. Come and shop!","Wightman Street between 43rd Street and Fairmont Avenue","2021-06-26 09:00:00","2021-06-26 13:00:00","","","San Diego County Farm Bureau","www.sdfarmbureau.org","Wightman Street & 43rd Street","32.747757","-117.102"
"Little Italy Mercato Farmers' Market","53650","","FARMERS","This farmer's market in Little Italy offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, flowers, meat, nuts, sauces, bakery, dry goods, prepared foods, and specialty treats. There are also gift items and craft creations. Come and shop!","W. Date St. between Front Street and its cul-de-sac west of Kettner Boulevard","2021-06-26 08:00:00","2021-06-26 14:00:00","",""," Little Italy Association of San Diego","www.littleitalymercato.com","Date Street & Front Street","32.723","-117.16479"
"North Park Thursday Market","53802","","FARMERS","This farmer's market in North Park offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. Come and shop!","North Park Way between Granada Avenue and 30th Street","2021-06-24 15:00:00","2021-06-24 19:30:00","","","North Park Business and Neighborhood Foundation","www.northparkmarket.com","North Park Way & Granada Avenue","32.747375","-117.13188999999998"
"Ocean Beach Certified Farmers' Market","53545","","FARMERS","This farmer's market in Ocean Beach offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, flowers, meat, nuts, sauces, bakery, dry goods, prepared foods, and specialty treats. There are also gift items and craft creations. Come and shop!","Newport Avenue between Bacon and Cable Streets","2021-06-23 16:00:00","2021-06-23 20:00:00","","","Ocean Beach Merchant's Association","www.oceanbeachsandiego.com/attractions/annual-events/farmers-market-wednesdays","Newport Avenue and Bacon Street","32.746857","-117.25107"
"Pacific Beach Tuesday Farmers' Market","53750","","FARMERS","This farmer's market in Pacific Beach offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. There are also art & craft items, jewelry, and clothing. Come and shop!","Bayard Street between Grand and Garnet Avenues","2021-06-22 14:00:00","2021-06-22 19:00:00","","","Discover PB","www.pacificbeachmarket.com","Bayard Street & Grand Avenue","32.79506","-117.2531"
"Hillcrest Farmers Market","53700","","FARMERS","This farmer's market in Hillcrest offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. There are also art & craft items, jewelry, and clothing. Come and shop!","DMV parking lot at 3690 Normal Street ~ Normal Street between Lincoln Avenue & University Avenue","2021-06-20 09:00:00","2021-06-20 14:00:00","","","Hillcrest Business Association","www.hillcrestfarmersmarket.com","3690 Normal Street","32.7485285","-117.1498856"
"City Heights Farmers' Market","53597","","FARMERS","This farmer's market in City Heights offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, bakery, dry goods, prepared foods, and specialty treats. There are also imported items from Latin America, East Africa, and Southwest Asia. Come and shop!","Wightman Street between 43rd Street and Fairmont Avenue","2021-06-19 09:00:00","2021-06-19 13:00:00","","","San Diego County Farm Bureau","www.sdfarmbureau.org","Wightman Street & 43rd Street","32.747757","-117.102"
"Little Italy Mercato Farmers' Market","53649","","FARMERS","This farmer's market in Little Italy offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, flowers, meat, nuts, sauces, bakery, dry goods, prepared foods, and specialty treats. There are also gift items and craft creations. Come and shop!","W. Date St. between Front Street and its cul-de-sac west of Kettner Boulevard","2021-06-19 08:00:00","2021-06-19 14:00:00","",""," Little Italy Association of San Diego","www.littleitalymercato.com","Date Street & Front Street","32.723","-117.16479"
"North Park Thursday Market","53801","","FARMERS","This farmer's market in North Park offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. Come and shop!","North Park Way between Granada Avenue and 30th Street","2021-06-17 15:00:00","2021-06-17 19:30:00","","","North Park Business and Neighborhood Foundation","www.northparkmarket.com","North Park Way & Granada Avenue","32.747375","-117.13188999999998"
"Ocean Beach Certified Farmers' Market","53544","","FARMERS","This farmer's market in Ocean Beach offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, flowers, meat, nuts, sauces, bakery, dry goods, prepared foods, and specialty treats. There are also gift items and craft creations. Come and shop!","Newport Avenue between Bacon and Cable Streets","2021-06-16 16:00:00","2021-06-16 20:00:00","","","Ocean Beach Merchant's Association","www.oceanbeachsandiego.com/attractions/annual-events/farmers-market-wednesdays","Newport Avenue and Bacon Street","32.746857","-117.25107"
"Pacific Beach Tuesday Farmers' Market","53749","","FARMERS","This farmer's market in Pacific Beach offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. There are also art & craft items, jewelry, and clothing. Come and shop!","Bayard Street between Grand and Garnet Avenues","2021-06-15 14:00:00","2021-06-15 19:00:00","","","Discover PB","www.pacificbeachmarket.com","Bayard Street & Grand Avenue","32.79506","-117.2531"
"Hillcrest Farmers Market","53699","","FARMERS","This farmer's market in Hillcrest offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. There are also art & craft items, jewelry, and clothing. Come and shop!","DMV parking lot at 3690 Normal Street ~ Normal Street between Lincoln Avenue & University Avenue","2021-06-13 09:00:00","2021-06-13 14:00:00","","","Hillcrest Business Association","www.hillcrestfarmersmarket.com","3690 Normal Street","32.7485285","-117.1498856"
"City Heights Farmers' Market","53596","","FARMERS","This farmer's market in City Heights offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, bakery, dry goods, prepared foods, and specialty treats. There are also imported items from Latin America, East Africa, and Southwest Asia. Come and shop!","Wightman Street between 43rd Street and Fairmont Avenue","2021-06-12 09:00:00","2021-06-12 13:00:00","","","San Diego County Farm Bureau","www.sdfarmbureau.org","Wightman Street & 43rd Street","32.747757","-117.102"
"Little Italy Mercato Farmers' Market","53648","","FARMERS","This farmer's market in Little Italy offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, flowers, meat, nuts, sauces, bakery, dry goods, prepared foods, and specialty treats. There are also gift items and craft creations. Come and shop!","W. Date St. between Front Street and its cul-de-sac west of Kettner Boulevard","2021-06-12 08:00:00","2021-06-12 14:00:00","",""," Little Italy Association of San Diego","www.littleitalymercato.com","Date Street & Front Street","32.723","-117.16479"
"North Park Thursday Market","53800","","FARMERS","This farmer's market in North Park offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. Come and shop!","North Park Way between Granada Avenue and 30th Street","2021-06-10 15:00:00","2021-06-10 19:30:00","","","North Park Business and Neighborhood Foundation","www.northparkmarket.com","North Park Way & Granada Avenue","32.747375","-117.13188999999998"
"Ocean Beach Certified Farmers' Market","53543","","FARMERS","This farmer's market in Ocean Beach offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, flowers, meat, nuts, sauces, bakery, dry goods, prepared foods, and specialty treats. There are also gift items and craft creations. Come and shop!","Newport Avenue between Bacon and Cable Streets","2021-06-09 16:00:00","2021-06-09 20:00:00","","","Ocean Beach Merchant's Association","www.oceanbeachsandiego.com/attractions/annual-events/farmers-market-wednesdays","Newport Avenue and Bacon Street","32.746857","-117.25107"
"Pacific Beach Tuesday Farmers' Market","53748","","FARMERS","This farmer's market in Pacific Beach offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. There are also art & craft items, jewelry, and clothing. Come and shop!","Bayard Street between Grand and Garnet Avenues","2021-06-08 14:00:00","2021-06-08 19:00:00","","","Discover PB","www.pacificbeachmarket.com","Bayard Street & Grand Avenue","32.79506","-117.2531"
"Hillcrest Farmers Market","53698","","FARMERS","This farmer's market in Hillcrest offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. There are also art & craft items, jewelry, and clothing. Come and shop!","DMV parking lot at 3690 Normal Street ~ Normal Street between Lincoln Avenue & University Avenue","2021-06-06 09:00:00","2021-06-06 14:00:00","","","Hillcrest Business Association","www.hillcrestfarmersmarket.com","3690 Normal Street","32.7485285","-117.1498856"
"City Heights Farmers' Market","53595","","FARMERS","This farmer's market in City Heights offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, bakery, dry goods, prepared foods, and specialty treats. There are also imported items from Latin America, East Africa, and Southwest Asia. Come and shop!","Wightman Street between 43rd Street and Fairmont Avenue","2021-06-05 09:00:00","2021-06-05 13:00:00","","","San Diego County Farm Bureau","www.sdfarmbureau.org","Wightman Street & 43rd Street","32.747757","-117.102"
"Little Italy Mercato Farmers' Market","53647","","FARMERS","This farmer's market in Little Italy offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, flowers, meat, nuts, sauces, bakery, dry goods, prepared foods, and specialty treats. There are also gift items and craft creations. Come and shop!","W. Date St. between Front Street and its cul-de-sac west of Kettner Boulevard","2021-06-05 08:00:00","2021-06-05 14:00:00","",""," Little Italy Association of San Diego","www.littleitalymercato.com","Date Street & Front Street","32.723","-117.16479"
"North Park Thursday Market","53799","","FARMERS","This farmer's market in North Park offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. Come and shop!","North Park Way between Granada Avenue and 30th Street","2021-06-03 15:00:00","2021-06-03 19:30:00","","","North Park Business and Neighborhood Foundation","www.northparkmarket.com","North Park Way & Granada Avenue","32.747375","-117.13188999999998"
"Ocean Beach Certified Farmers' Market","53542","","FARMERS","This farmer's market in Ocean Beach offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, flowers, meat, nuts, sauces, bakery, dry goods, prepared foods, and specialty treats. There are also gift items and craft creations. Come and shop!","Newport Avenue between Bacon and Cable Streets","2021-06-02 16:00:00","2021-06-02 20:00:00","","","Ocean Beach Merchant's Association","www.oceanbeachsandiego.com/attractions/annual-events/farmers-market-wednesdays","Newport Avenue and Bacon Street","32.746857","-117.25107"
"Hillcrest Farmers Market","53697","","FARMERS","This farmer's market in Hillcrest offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. There are also art & craft items, jewelry, and clothing. Come and shop!","DMV parking lot at 3690 Normal Street ~ Normal Street between Lincoln Avenue & University Avenue","2021-05-30 09:00:00","2021-05-30 14:00:00","","","Hillcrest Business Association","www.hillcrestfarmersmarket.com","3690 Normal Street","32.7485285","-117.1498856"
"City Heights Farmers' Market","53594","","FARMERS","This farmer's market in City Heights offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, bakery, dry goods, prepared foods, and specialty treats. There are also imported items from Latin America, East Africa, and Southwest Asia. Come and shop!","Wightman Street between 43rd Street and Fairmont Avenue","2021-05-29 09:00:00","2021-05-29 13:00:00","","","San Diego County Farm Bureau","www.sdfarmbureau.org","Wightman Street & 43rd Street","32.747757","-117.102"
"Little Italy Mercato Farmers' Market","53646","","FARMERS","This farmer's market in Little Italy offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, flowers, meat, nuts, sauces, bakery, dry goods, prepared foods, and specialty treats. There are also gift items and craft creations. Come and shop!","W. Date St. between Front Street and its cul-de-sac west of Kettner Boulevard","2021-05-29 08:00:00","2021-05-29 14:00:00","",""," Little Italy Association of San Diego","www.littleitalymercato.com","Date Street & Front Street","32.723","-117.16479"
"North Park Thursday Market","53798","","FARMERS","This farmer's market in North Park offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. Come and shop!","North Park Way between Granada Avenue and 30th Street","2021-05-27 15:00:00","2021-05-27 19:30:00","","","North Park Business and Neighborhood Foundation","www.northparkmarket.com","North Park Way & Granada Avenue","32.747375","-117.13188999999998"
"Ocean Beach Certified Farmers' Market","53541","","FARMERS","This farmer's market in Ocean Beach offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, flowers, meat, nuts, sauces, bakery, dry goods, prepared foods, and specialty treats. There are also gift items and craft creations. Come and shop!","Newport Avenue between Bacon and Cable Streets","2021-05-26 16:00:00","2021-05-26 20:00:00","","","Ocean Beach Merchant's Association","www.oceanbeachsandiego.com/attractions/annual-events/farmers-market-wednesdays","Newport Avenue and Bacon Street","32.746857","-117.25107"
"Pacific Beach Tuesday Farmers' Market","53747","","FARMERS","This farmer's market in Pacific Beach offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. There are also art & craft items, jewelry, and clothing. Come and shop!","Bayard Street between Grand and Garnet Avenues","2021-05-25 14:00:00","2021-05-25 19:00:00","","","Discover PB","www.pacificbeachmarket.com","Bayard Street & Grand Avenue","32.79506","-117.2531"
"Hillcrest Farmers Market","53696","","FARMERS","This farmer's market in Hillcrest offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. There are also art & craft items, jewelry, and clothing. Come and shop!","DMV parking lot at 3690 Normal Street ~ Normal Street between Lincoln Avenue & University Avenue","2021-05-23 09:00:00","2021-05-23 14:00:00","","","Hillcrest Business Association","www.hillcrestfarmersmarket.com","3690 Normal Street","32.7485285","-117.1498856"
"City Heights Farmers' Market","53593","","FARMERS","This farmer's market in City Heights offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, bakery, dry goods, prepared foods, and specialty treats. There are also imported items from Latin America, East Africa, and Southwest Asia. Come and shop!","Wightman Street between 43rd Street and Fairmont Avenue","2021-05-22 09:00:00","2021-05-22 13:00:00","","","San Diego County Farm Bureau","www.sdfarmbureau.org","Wightman Street & 43rd Street","32.747757","-117.102"
"Little Italy Mercato Farmers' Market","53645","","FARMERS","This farmer's market in Little Italy offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, flowers, meat, nuts, sauces, bakery, dry goods, prepared foods, and specialty treats. There are also gift items and craft creations. Come and shop!","W. Date St. between Front Street and its cul-de-sac west of Kettner Boulevard","2021-05-22 08:00:00","2021-05-22 14:00:00","",""," Little Italy Association of San Diego","www.littleitalymercato.com","Date Street & Front Street","32.723","-117.16479"
"North Park Thursday Market","53797","","FARMERS","This farmer's market in North Park offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. Come and shop!","North Park Way between Granada Avenue and 30th Street","2021-05-20 15:00:00","2021-05-20 19:30:00","","","North Park Business and Neighborhood Foundation","www.northparkmarket.com","North Park Way & Granada Avenue","32.747375","-117.13188999999998"
"Ocean Beach Certified Farmers' Market","53540","","FARMERS","This farmer's market in Ocean Beach offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, flowers, meat, nuts, sauces, bakery, dry goods, prepared foods, and specialty treats. There are also gift items and craft creations. Come and shop!","Newport Avenue between Bacon and Cable Streets","2021-05-19 16:00:00","2021-05-19 20:00:00","","","Ocean Beach Merchant's Association","www.oceanbeachsandiego.com/attractions/annual-events/farmers-market-wednesdays","Newport Avenue and Bacon Street","32.746857","-117.25107"
"Pacific Beach Tuesday Farmers' Market","53746","","FARMERS","This farmer's market in Pacific Beach offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. There are also art & craft items, jewelry, and clothing. Come and shop!","Bayard Street between Grand and Garnet Avenues","2021-05-18 14:00:00","2021-05-18 19:00:00","","","Discover PB","www.pacificbeachmarket.com","Bayard Street & Grand Avenue","32.79506","-117.2531"
"Hillcrest Farmers Market","53695","","FARMERS","This farmer's market in Hillcrest offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. There are also art & craft items, jewelry, and clothing. Come and shop!","DMV parking lot at 3690 Normal Street ~ Normal Street between Lincoln Avenue & University Avenue","2021-05-16 09:00:00","2021-05-16 14:00:00","","","Hillcrest Business Association","www.hillcrestfarmersmarket.com","3690 Normal Street","32.7485285","-117.1498856"
"City Heights Farmers' Market","53592","","FARMERS","This farmer's market in City Heights offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, bakery, dry goods, prepared foods, and specialty treats. There are also imported items from Latin America, East Africa, and Southwest Asia. Come and shop!","Wightman Street between 43rd Street and Fairmont Avenue","2021-05-15 09:00:00","2021-05-15 13:00:00","","","San Diego County Farm Bureau","www.sdfarmbureau.org","Wightman Street & 43rd Street","32.747757","-117.102"
"Little Italy Mercato Farmers' Market","53644","","FARMERS","This farmer's market in Little Italy offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, flowers, meat, nuts, sauces, bakery, dry goods, prepared foods, and specialty treats. There are also gift items and craft creations. Come and shop!","W. Date St. between Front Street and its cul-de-sac west of Kettner Boulevard","2021-05-15 08:00:00","2021-05-15 14:00:00","",""," Little Italy Association of San Diego","www.littleitalymercato.com","Date Street & Front Street","32.723","-117.16479"
